,method,n,mse_run,mse_method,mae_run,mae_method,hp,uid,epochs,fold,mae_diff,mse_diff
72,GREEDYFP,25,0.0201835721360088,0.0335237744216725,0.071183466788694,0.1011110306713253,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_185726,400.0,0,0.0299275638826312,0.0133402022856637
73,GREEDYFP,25,0.031039361504248,0.0546286588552577,0.0865136680650109,0.1255649046254643,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_185741,397.0,1,0.0390512365604533,0.0235892973510096
74,GREEDYFP,25,0.0285199349810351,0.0497961709211632,0.0839753200906972,0.1206680914360364,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_185757,146.0,2,0.0366927713453391,0.021276235940128
168,GREEDYFP,25,0.030017464659785602,0.05269101680527579,0.0851729425951296,0.12359596876016085,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204018,400,3,0.03842302616503125,0.02267355214549019
169,GREEDYFP,25,0.03000351405541242,0.05263208406882061,0.0857808147093968,0.12387956652911046,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204034,171,4,0.03809875181971366,0.022628570013408192
170,GREEDYFP,25,0.03008952397838856,0.052855877161042585,0.08528050274848625,0.12397575451265941,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204041,400,5,0.038695251764173155,0.022766353182654023
171,GREEDYFP,25,0.02640038317991834,0.04576238616952311,0.08072727514665728,0.11645485066031949,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204057,400,6,0.03572757551366221,0.019362002989604773
172,GREEDYFP,25,0.008814917811705344,0.009790950449551222,0.04121880381679045,0.055198821910012255,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204116,400,7,0.013980018093221802,0.0009760326378458785
173,GREEDYFP,25,0.010340724184301387,0.012610925096577725,0.04885887165064025,0.06419976204175515,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204133,400,8,0.0153408903911149,0.002270200912276338
174,GREEDYFP,25,0.031065753634788168,0.05465869369879557,0.08620265027590569,0.12524353905140717,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240610_204149,359,9,0.03904088877550148,0.023592940064007403
