,method,n,mse_run,mse_method,mae_run,mae_method,hp,uid,epochs,mae_diff,mse_diff
0,Random,25,0.027092723531651364,0.02331811022257048,0.08563737827641356,0.09083171370765687,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_161651,183.0,0.005194335431243313,0.0037746133090808855
1,Random,49,0.028161375494669745,0.04172857770418873,0.1042596336094235,0.1392634814430341,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_161719,400.0,0.0350038478336106,0.013567202209518986
2,Random,121,0.001447943171012094,0.0005932027183053013,0.009554129319303032,0.005477823691147202,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_161819,400.0,0.00407630562815583,0.0008547404527067926
3,Random,169,0.006041497601129872,0.009062134952558696,0.02324603324568212,0.02860594633902517,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_161917,400.0,0.0053599130933430494,0.003020637351428824
4,Random,529,8.249880750347937e-06,1.0464787141804521e-05,0.0010205306986452284,0.0010914159629373686,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_162018,400.0,7.088526429214017e-05,2.2149063914565844e-06
5,Random,1849,4.113565739559702e-06,4.80169884060623e-06,0.0008219981246761064,0.0008453659355331843,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_162123,400.0,2.336781085707793e-05,6.881331010465283e-07
6,Grid,25,0.005889542678846835,0.00465238473090437,0.043259521607816445,0.03305099001133592,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_162247,341.0,0.010208531596480525,0.001237157947942465
7,Grid,49,0.004908953455896587,0.021489489170442806,0.022873056060949467,0.04444798498050688,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_162335,400.0,0.021574928919557413,0.01658053571454622
8,Grid,121,0.000135189726023801,7.850529938046403e-05,0.005035264053708032,0.003613018910569886,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_162433,400.0,0.0014222451431381462,5.6684426643336967e-05
9,Grid,169,6.59827596421219e-05,6.904046836747164e-05,0.0034712505749689075,0.003067538827179092,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_162532,400.0,0.0004037117477898155,3.057708725349737e-06
10,Grid,529,8.948706048945559e-05,0.00011215365520002646,0.005281318982201335,0.005651841468844604,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_162632,185.0,0.00037052248664326895,2.2666594710570872e-05
11,Grid,1849,4.055797423727375e-06,6.583726919368463e-06,0.0009494863779717928,0.0009774071219506315,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_162703,400.0,2.7920743978838676e-05,2.527929495641088e-06
12,LatinHyperCube,25,0.004269172498915115,0.0006388165400810449,0.029297000998932808,0.017139467384120723,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_162825,353.0,0.012157533614812085,0.00363035595883407
13,LatinHyperCube,49,0.0049181036719704654,0.002656416181419564,0.030690938437090257,0.02530925608297307,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_162917,400.0,0.005381682354117186,0.0022616874905509016
14,LatinHyperCube,121,0.00037669334223949314,0.00021208009334715476,0.007226006246234333,0.006077311698487529,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_163016,400.0,0.001148694547746804,0.00016461324889233838
15,LatinHyperCube,169,0.00017214004546698173,0.00013231664069914367,0.003569763223946303,0.0034537843647095986,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_163117,400.0,0.00011597885923670444,3.9823404767838063e-05
16,LatinHyperCube,529,9.756536314460574e-05,4.230979830823685e-05,0.0018779215979202657,0.0014357429818761477,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_163218,400.0,0.00044217861604411795,5.525556483636889e-05
17,LatinHyperCube,1849,6.398246707525412e-06,7.392110601820693e-06,0.0010295966679754948,0.0011367739543979194,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_163327,400.0,0.00010717728642242459,9.938638942952812e-07
18,OrtogonalLatinHyperCube,25,0.005471380029787781,0.0020765496986243142,0.033676981026991376,0.026428492776944104,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_163451,400.0,0.007248488250047272,0.003394830331163467
19,OrtogonalLatinHyperCube,49,0.005955820127375093,0.0023118838286481534,0.02942977765035141,0.02257965953765396,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_163549,400.0,0.006850118112697447,0.0036439362987269394
20,OrtogonalLatinHyperCube,121,0.00016003779605533808,0.0005684839360733166,0.0034762859491508516,0.006837811370813735,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_163648,400.0,0.003361525421662883,0.00040844614001797847
21,OrtogonalLatinHyperCube,169,0.0001248975832356376,0.00013756517098579567,0.0032745930634941684,0.004227563434437219,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_163750,400.0,0.0009529703709430506,1.2667587750158065e-05
22,OrtogonalLatinHyperCube,529,0.00018037981265633268,0.00023996190903636592,0.005299609492347374,0.005479860446089664,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_163851,194.0,0.00018025095374228986,5.958209638003324e-05
23,OrtogonalLatinHyperCube,1849,5.656761310464018e-06,6.9298050667665975e-06,0.0009757462780830986,0.0011269039616655856,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_163923,400.0,0.0001511576835824869,1.27304375630258e-06
24,GREEDYFP,25,0.026240109544092255,0.0439034036138284,0.08046818391352467,0.11413315923075004,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_164046,400.0,0.03366497531722537,0.017663294069736143
25,GREEDYFP,49,0.018734496164591632,0.02373770154807374,0.08667491396068328,0.105137837444193,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_164146,400.0,0.018462923483509724,0.005003205383482107
26,GREEDYFP,121,9.623859592740353e-05,0.00019341935149596272,0.0037144136840348762,0.00584420226460195,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_164246,400.0,0.002129788580567074,9.718075556855919e-05
27,GREEDYFP,169,5.1451210049659604e-05,0.00026111467900085707,0.0020907186709990884,0.0042144365752597905,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_164346,400.0,0.002123717904260702,0.00020966346895119747
28,GREEDYFP,529,1.2675269708418676e-05,2.9717285128194974e-05,0.0012779367518728848,0.0017623166485648575,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_164447,400.0,0.0004843798966919727,1.70420154197763e-05
29,GREEDYFP,1849,3.7306178702163095e-06,4.5499410451185515e-06,0.0008957690960388832,0.0009403647088962158,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240608_164638,400.0,4.459561285733262e-05,8.193231749022421e-07
