index,method,n,mse_run,mse_method,mae_run,mae_method,hp,uid,epochs,fold,mae_diff,mse_diff
0,Grid - sparse,25,0.02823780893580701,0.013550435408989004,0.08551297621417317,0.060646341181031814,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120309,205,0,0.024866635033141356,0.014687373526818008
1,Grid - sparse,25,0.027460473269892736,0.012600987265501927,0.08327463281681115,0.05738309297355649,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120321,378,1,0.02589153984325466,0.014859486004390809
2,Grid - sparse,25,0.02888050848621611,0.013420538968183585,0.08537542018425802,0.05931762243347812,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120337,400,2,0.026057797750779897,0.015459969518032527
3,Grid - sparse,25,0.02981323095471053,0.01372802610862087,0.08623411281348071,0.059328653441339606,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120354,371,3,0.02690545937214111,0.01608520484608966
4,Grid - sparse,25,0.006169953322342397,0.0037314549961355594,0.04142108540103367,0.0383058358495368,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120409,400,4,0.0031152495514968695,0.002438498326206838
5,Grid - sparse,25,0.029564066658058354,0.013464063545302897,0.0857208869923175,0.05853804867758455,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120425,379,5,0.02718283831473295,0.01610000311275546
6,Grid - sparse,25,0.02827831030793991,0.01303272763381753,0.08433207029779863,0.05813727128629025,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120441,389,6,0.026194799011508375,0.01524558267412238
7,Grid - sparse,25,0.02782209882981831,0.013172526949302486,0.08463219709538475,0.05956748592731157,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120503,400,7,0.025064711168073177,0.014649571880515825
8,Grid - sparse,25,0.015168673431785034,0.007327491814451932,0.06507616333752056,0.05266715782001878,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120520,400,8,0.012409005517501778,0.0078411816173331
9,Grid - sparse,25,0.008730954181241625,0.005834935882003786,0.05157982578806623,0.04688912525172088,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120537,400,9,0.004690700536345356,0.0028960182992378387
10,Grid - sparse,49,0.006419577734730096,0.004309064439700345,0.028184064743704763,0.026175437111972146,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120554,400,0,0.0020086276317326165,0.002110513295029751
11,Grid - sparse,49,0.004410455209158646,0.0028574866511513206,0.020933710687908974,0.01796515922438862,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120612,400,1,0.002968551463520354,0.0015529685580073253
12,Grid - sparse,49,0.007092538891419934,0.005405620985824582,0.028032089220831388,0.027195808212127706,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120628,400,2,0.0008362810087036814,0.0016869179055953518
13,Grid - sparse,49,0.006588858431876993,0.0045017496239538185,0.028183555777459304,0.026359483192381374,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120645,386,3,0.00182407258507793,0.0020871088079231744
14,Grid - sparse,49,0.006545844173098507,0.004555482521639462,0.027769814161975864,0.02617449347357849,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120700,376,4,0.0015953206883973746,0.001990361651459045
15,Grid - sparse,49,0.014038219046259293,0.007971051243114145,0.06247748047919914,0.04983534777986316,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120720,400,5,0.012642132699335978,0.006067167803145148
16,Grid - sparse,49,0.034350935984084695,0.020963653337885812,0.08807030674780118,0.06659908557212908,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120739,400,6,0.0214712211756721,0.013387282646198883
17,Grid - sparse,49,0.031006225060004913,0.018323261491681845,0.08613739581909743,0.06717041061492428,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120757,207,7,0.018966985204173156,0.012682963568323068
18,Grid - sparse,49,0.006629733556073577,0.004867226345242229,0.02752804145208844,0.026710013794553216,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120807,400,8,0.0008180276575352231,0.001762507210831348
19,Grid - sparse,49,0.006701337837792362,0.004103184836936464,0.029866336111326386,0.02522107623662553,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120824,400,9,0.004645259874700856,0.0025981530008558984
20,Grid - sparse,121,0.0002820325595824252,2.2443651165106013e-05,0.005472639452096812,0.0021418951363972585,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240612_120841,400,0,0.0033307443156995534,0.0002595889084173192
