,method,n,mse,hp,uid,mse_run,mse_test
0,Random,49,,"{'units': [128, 512, 1024, 1024, 64, 16], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 16, 'l1_reg': 1e-06, 'n_epochs': 400}",20240529_203057,0.0016592217482570859,0.0011397902677322542
1,Random,121,,"{'units': [128, 512, 1024, 1024, 64, 16], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 16, 'l1_reg': 1e-06, 'n_epochs': 400}",20240529_203251,0.00052439909583968,5.668608637135323e-05
2,Random,169,,"{'units': [128, 512, 1024, 1024, 64, 16], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 16, 'l1_reg': 1e-06, 'n_epochs': 400}",20240529_203500,0.0002930878828614174,5.067932967608284e-05
3,Random,529,,"{'units': [128, 512, 1024, 1024, 64, 16], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 16, 'l1_reg': 1e-06, 'n_epochs': 400}",20240529_203721,4.330576187109393e-05,4.5983918648355394e-05
4,Random,1849,,"{'units': [128, 512, 1024, 1024, 64, 16], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 16, 'l1_reg': 1e-06, 'n_epochs': 400}",20240529_204055,3.664391016798444e-05,3.1449836885916744e-05
5,Grid,49,,"{'units': [128, 512, 1024, 1024, 64, 16], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 16, 'l1_reg': 1e-06, 'n_epochs': 400}",20240529_204908,0.004092683009544602,0.002333111833045884
6,Grid,121,,"{'units': [128, 512, 1024, 1024, 64, 16], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 16, 'l1_reg': 1e-06, 'n_epochs': 400}",20240529_205100,0.0003842649257235665,0.0006657532346209361
7,Grid,169,,"{'units': [128, 512, 1024, 1024, 64, 16], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 16, 'l1_reg': 1e-06, 'n_epochs': 400}",20240529_205311,0.00026796941308091437,0.0003474893130928239
8,Grid,529,,"{'units': [128, 512, 1024, 1024, 64, 16], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 16, 'l1_reg': 1e-06, 'n_epochs': 400}",20240529_205532,4.957104034047066e-05,0.00016037845778724746
9,Grid,1849,,"{'units': [128, 512, 1024, 1024, 64, 16], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 16, 'l1_reg': 1e-06, 'n_epochs': 400}",20240529_205907,3.948363805287264e-05,4.933583236802175e-05
10,LatinHyperCube,49,,"{'units': [128, 512, 1024, 1024, 64, 16], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 16, 'l1_reg': 1e-06, 'n_epochs': 400}",20240529_210743,0.14624930985943146,0.0009405024692675019
11,LatinHyperCube,121,,"{'units': [128, 512, 1024, 1024, 64, 16], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 16, 'l1_reg': 1e-06, 'n_epochs': 400}",20240529_210940,0.02033995563422456,1.0411535514459466e-05
12,LatinHyperCube,169,,"{'units': [128, 512, 1024, 1024, 64, 16], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 16, 'l1_reg': 1e-06, 'n_epochs': 400}",20240529_211150,0.024206187521346557,3.4010665093161475e-05
13,LatinHyperCube,529,,"{'units': [128, 512, 1024, 1024, 64, 16], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 16, 'l1_reg': 1e-06, 'n_epochs': 400}",20240529_211413,0.016458234569765987,3.2274733073379143e-06
14,LatinHyperCube,1849,,"{'units': [128, 512, 1024, 1024, 64, 16], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 16, 'l1_reg': 1e-06, 'n_epochs': 400}",20240529_211755,0.019363426008157915,2.0792168565217127e-06
15,OrtogonalLatinHyperCube,49,,"{'units': [128, 512, 1024, 1024, 64, 16], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 16, 'l1_reg': 1e-06, 'n_epochs': 400}",20240529_212635,0.028086859610669517,1.4085667811862761e-05
16,OrtogonalLatinHyperCube,121,,"{'units': [128, 512, 1024, 1024, 64, 16], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 16, 'l1_reg': 1e-06, 'n_epochs': 400}",20240529_212832,0.020910392613990515,6.593463346962992e-05
17,OrtogonalLatinHyperCube,169,,"{'units': [128, 512, 1024, 1024, 64, 16], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 16, 'l1_reg': 1e-06, 'n_epochs': 400}",20240529_213050,0.017666285332200677,4.3313774207048274e-05
18,OrtogonalLatinHyperCube,529,,"{'units': [128, 512, 1024, 1024, 64, 16], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 16, 'l1_reg': 1e-06, 'n_epochs': 400}",20240529_213321,0.01900505559906512,1.5377104912107727e-05
19,OrtogonalLatinHyperCube,1849,,"{'units': [128, 512, 1024, 1024, 64, 16], 'act_fun': 'relu', 'learning_rate': 0.001, 'batch_size': 16, 'l1_reg': 1e-06, 'n_epochs': 400}",20240529_213710,0.016869052274350836,1.6260080635266441e-06
