,method,n,mse_run,mse_method,mae_run,mae_method,me_run,me_method,hp,uid,epochs,fold,mae_diff,mse_diff,bias_method,bias_run
0,Random,25,0.009919966129891506,0.006349669733399932,0.050961105353584724,0.044931658722597266,-0.01996862568035865,-0.014086369833592963,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131019,400,0,0.0060294466309874575,0.0035702963964915737,0.03124978517308028,0.04019630776366775
1,Random,25,0.026493071798112323,0.023800104161480404,0.08753904760813272,0.09370363617798268,-0.020438772305364523,-0.011471910602828862,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131037,207,1,0.0061645885698499575,0.0026929676366319183,0.005529586424764253,0.015768024807916035
2,Random,25,0.02677727784878147,0.024002019594973972,0.08837613127912508,0.09415944490944317,-0.019700494113641595,-0.010271324694040207,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131047,171,2,0.005783313630318088,0.0027752582538074985,0.004395468079381616,0.014493985180771034
3,Random,49,0.006704259565527667,0.019735405876051198,0.0407489995565895,0.07398384345487115,0.007892874568321008,0.0012102633876233083,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131055,400,0,0.03323484389828165,0.013031146310523531,7.421876583743821e-05,0.00929222210780339
4,Random,49,0.02803066881356205,0.04172262435361862,0.1045407200132699,0.13941424325767085,0.029192321826463762,0.017847333868214136,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131112,214,1,0.03487352324440095,0.013691955540056571,0.007634402944163731,0.030402116313668463
5,Random,49,0.019645948002446904,0.03495483234168034,0.08039808162731084,0.12278976059421898,0.005817779142218957,-0.006214836720662914,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131122,400,2,0.04239167896690814,0.015308884339233438,0.0011049744163253918,0.0017228262104441257
6,Random,121,0.0002536714301213697,4.876558788992849e-05,0.004937048368400307,0.003077766617878321,-0.0007970438147254519,0.0007223844617968942,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131140,400,0,0.001859281750521986,0.0002049058422314412,0.010700974462226539,0.0025043373717258967
7,Random,121,0.0004938033735051554,0.00011085265350704077,0.00641403460763581,0.0035221854380316593,-2.1811172390857037e-05,0.0022292010655697468,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131159,400,1,0.0028918491696041503,0.00038295071999811463,0.044828312480780334,9.633940685476454e-07
8,Random,121,0.000578839353288493,0.00018951927677962746,0.00633444771452402,0.004626805588223366,-0.0014102129465041564,0.001496865837367183,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131218,400,2,0.0017076421263006536,0.00038932007650886556,0.011822582763875416,0.0034356692287588267
9,Grid,25,0.006514025639715607,0.0010377923286550874,0.03841986467046583,0.016054144816820316,-0.010009361692739888,0.01371923749432671,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131236,216,0,0.02236571985364551,0.00547623331106052,0.18136333467569343,0.015380246722587776
10,Grid,25,0.0031875327867609475,0.0006665975384181021,0.03140247453729547,0.012645151817460619,0.013061734889126115,0.004915556495770793,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131246,400,1,0.01875732271983485,0.0025209352483428456,0.03624780211528347,0.05352381598157014
11,Grid,25,0.006536407445036954,0.0012555369579495285,0.03818540903533671,0.019713677880785332,-0.012085678118684131,0.011162217157188783,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131305,219,2,0.018471731154551377,0.005280870487087425,0.09923649883450762,0.022346161376360564
12,Grid,49,0.007556350299800217,0.024457874870782235,0.03736342359928922,0.056534117761719044,-0.022027259766166367,-0.049710026053871245,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131315,179,0,0.01917069416242982,0.01690152457098202,0.1010343990772705,0.06421091579343534
13,Grid,49,0.0021112711298585315,0.012335333562269398,0.015975373128622086,0.033987371563835314,-0.006093725722340582,-0.024921675501944792,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131324,400,1,0.018011998435213228,0.010224062432410867,0.05035047546050874,0.01758821624279181
14,Grid,49,0.005820430074459371,0.022521080809534553,0.026814302369750066,0.04768510940389736,-0.020303912630288665,-0.04548232250920182,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131342,400,2,0.020870807034147298,0.016700650735075182,0.09185356947679278,0.07082790495282897
15,Grid,121,0.00014349834010297078,6.592235065886472e-05,0.004749410289240461,0.003464341489976628,-0.0003810325256766866,9.116845793445943e-05,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131359,400,0,0.0012850687992638334,7.757598944410606e-05,0.0001260829997576794,0.0010117593382569664
16,Grid,121,0.00011345203560760277,1.8905395947028917e-05,0.0041102711165358664,0.0019625677381855024,0.0006180977946016591,0.0004908236040531936,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131418,400,1,0.002147703378350364,9.454663966057386e-05,0.012742806919821537,0.0033674572839998713
17,Grid,121,0.0001522895350284742,9.014451758852401e-05,0.004749406634406234,0.003978187342492798,-0.0005386710520731633,-0.0005244478804681744,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131437,400,2,0.0007712192919134362,6.214501743995018e-05,0.0030511625852061323,0.0019053607477845077
18,LatinHyperCube,25,0.0033323174452015913,0.00032488141265721375,0.024217934640677098,0.01254746507510267,-0.010081753202670348,0.0002141553721496167,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131456,400,0,0.011670469565574429,0.0030074360325443774,0.00014116696626449024,0.030501820223014474
19,LatinHyperCube,25,0.0026154071394429985,0.0008356189606688623,0.024576870188288257,0.01788426966047734,-0.008509481903114622,-0.004431904539315655,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131513,400,1,0.0066926005278109164,0.0017797881787741361,0.023505663191132783,0.027686428306858805
20,LatinHyperCube,25,0.00306266260312294,0.0009410588871598191,0.026192098925266725,0.018302351917857906,-0.0040689306533735125,-0.0004256423857955393,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131530,400,2,0.007889747007408819,0.002121603715963121,0.00019251870744508526,0.005405818011125533
21,LatinHyperCube,49,0.00501503879095476,0.0024832009539078534,0.02684994327630527,0.022478649055461125,-0.008097148888664354,-0.010605365195161413,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131546,400,0,0.004371294220844146,0.002531837837046907,0.04529386586524111,0.013073442271962242
22,LatinHyperCube,49,0.004778931491713137,0.0022780159422913305,0.033426871279611296,0.025182702333436672,-0.003276481361985474,-0.012611257257649498,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240625_131605,400,1,0.008244168946174624,0.002500915549421807,0.06981681149195285,0.0022463871126953147
