index,method,n,mse_run,mse_method,mae_run,mae_method,me_run,me_method,hp,uid,epochs,fold,mae_diff,mse_diff,bias_method,bias_run
0,Random,25,0.016759213451272,0.0187159305094589,0.0753228093484304,0.0772679822473602,0.0144385802898704,-0.0411271541197052,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130026,211,0,0.0019451728989298,0.0019567170581868,0.0903744970163865,0.0124392831079558
1,Random,25,0.0284788037974489,0.0193379008065028,0.083735819011478,0.0692668743799912,-0.042038990729264,-0.0266012411359753,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130036,162,1,0.0144689446314868,0.009140902990946,0.0365927014030577,0.0620558628130812
2,Random,25,0.0239227475434067,0.0157922400127043,0.0769394912709234,0.0647442517894843,-0.0328507751710215,-0.019634819771967,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130044,336,2,0.012195239481439,0.0081305075307023,0.024412378938484,0.0451107644462198
3,Random,25,0.027669838337731,0.0188052084726607,0.0829419794536044,0.07031020679374,-0.0386179788706443,-0.0232002706028843,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130058,187,3,0.0126317726598644,0.0088646298650703,0.0286225253407628,0.0538979763398148
4,Random,25,0.0290271142883901,0.019892487345047,0.084736074474515,0.0708791591575909,-0.0418256079441952,-0.0264101452188888,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130107,173,4,0.0138569153169241,0.0091346269433431,0.0350632758178662,0.0602671509996161
5,Random,25,0.0278861076854824,0.0189780107667831,0.0831911527612774,0.0697186618464525,-0.0398321658125522,-0.0246788927548222,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130115,191,5,0.0134724909148249,0.0089080969186992,0.0320922859138652,0.0568957651319925
6,Random,25,0.029466147555047,0.0202018487921599,0.0844472287870359,0.0699107315890759,-0.0436064525586404,-0.0288123434869894,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130124,163,6,0.0145364971979599,0.0092642987628871,0.0410928299559609,0.0645324503719612
7,Random,25,0.0267616712504047,0.0181907230876494,0.0830486963156491,0.0717261878349267,-0.0340165979434238,-0.0183657121872585,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130132,180,7,0.0113225084807223,0.0085709481627553,0.0185423846275922,0.0432382912418837
8,Random,25,0.0290190585525743,0.0198977238096007,0.0845079610122454,0.0708729543084611,-0.0415190578188366,-0.0264286449107264,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130140,161,8,0.0136350067037843,0.0091213347429735,0.0351031745390019,0.0594034489106806
9,Random,25,0.0281314149647769,0.0191518335262745,0.0831540433867341,0.0697572645056589,-0.04018814189925,-0.0254209330799114,"{'units': [256, 256, 256, 128, 64], 'act_fun': 'relu', 'learning_rate': 0.005, 'batch_size': 32, 'l2_reg': 0.0001, 'n_epochs': 400}",20240626_130148,232,9,0.0133967788810751,0.0089795814385024,0.0337421395067358,0.0574122116266277
